tier,tier_name,company,ticker,public_status,primary_ai_link,non_obviousness,notes
1,Models assistants and AI software,OpenAI,,Private,Frontier models and ChatGPT,Low,Direct AI company; retained for competitive landscape despite no public ticker
1,Models assistants and AI software,Anthropic,,Private,Claude frontier models and enterprise AI,Low,Direct AI company; private
1,Models assistants and AI software,xAI,,Private,Frontier models and Grok,Low,Direct AI company; private
1,Models assistants and AI software,Alphabet,GOOGL,Public,Gemini models cloud AI and AI products,Low,AI exposure spans models cloud search and infrastructure
1,Models assistants and AI software,Microsoft,MSFT,Public,Copilot Azure AI and model distribution,Low,Major AI platform and enterprise distribution layer
1,Models assistants and AI software,Meta Platforms,META,Public,Llama models recommendation systems and AI products,Low,Large internal compute and open-model ecosystem
1,Models assistants and AI software,Amazon,AMZN,Public,AWS AI services Bedrock and model hosting,Medium,AI exposure sits inside a diversified cloud and commerce company
1,Models assistants and AI software,Palantir Technologies,PLTR,Public,Enterprise AI software and AIP,Low,Application layer focused on enterprise and government workflows
1,Models assistants and AI software,Salesforce,CRM,Public,Agentic enterprise software and AI CRM,Medium,Existing software distribution can monetize AI features
1,Models assistants and AI software,ServiceNow,NOW,Public,Enterprise workflow AI and agents,Medium,AI embedded into workflow platform rather than sold as standalone model
1,Models assistants and AI software,Adobe,ADBE,Public,Generative creative AI and Firefly,Medium,AI monetization through creative software ecosystem
1,Models assistants and AI software,Oracle,ORCL,Public,Cloud infrastructure databases and enterprise AI,Medium,AI demand can flow through OCI and database workloads
1,Models assistants and AI software,Baidu,BIDU,Public,ERNIE models search cloud and autonomous AI,Medium,Major Chinese model and AI platform company
1,Models assistants and AI software,Alibaba Group,BABA,Public,Qwen models Alibaba Cloud and AI applications,Medium,AI exposure through models cloud and commerce ecosystem
1,Models assistants and AI software,SAP,SAP,Public,Enterprise AI embedded in ERP and business software,High,Often thought of as legacy enterprise software rather than an AI beneficiary
2,Core AI technology and infrastructure,NVIDIA,NVDA,Public,GPUs accelerators networking and AI systems,Low,Central supplier of AI compute
2,Core AI technology and infrastructure,Advanced Micro Devices,AMD,Public,AI accelerators CPUs and data-center compute,Low,Direct compute competitor and supplier
